"","waveform","serial","offset","time.sec","voltage.mv","date.time"
"1",-2410,"RLA496845S",0.907,0.907,-1.96415,2020-01-14 19:05:00
"2",374,"RLA496845S",0.907,0.9148125,0.30481,2020-01-14 19:05:00
"3",550,"RLA496845S",0.907,0.922625,0.44825,2020-01-14 19:05:00
"4",-378,"RLA496845S",0.907,0.9304375,-0.30807,2020-01-14 19:05:00
"5",-563,"RLA496845S",0.907,0.93825,-0.458845,2020-01-14 19:05:00
"6",-444,"RLA496845S",0.907,0.9460625,-0.36186,2020-01-14 19:05:00
"7",-411,"RLA496845S",0.907,0.953875,-0.334965,2020-01-14 19:05:00
"8",-498,"RLA496845S",0.907,0.9616875,-0.40587,2020-01-14 19:05:00
"9",-468,"RLA496845S",0.907,0.9695,-0.38142,2020-01-14 19:05:00
"10",-534,"RLA496845S",0.907,0.9773125,-0.43521,2020-01-14 19:05:00
"11",-518,"RLA496845S",0.907,0.985125,-0.42217,2020-01-14 19:05:00
"12",-479,"RLA496845S",0.907,0.9929375,-0.390385,2020-01-14 19:05:00
"13",-593,"RLA496845S",0.907,1.00075,-0.483295,2020-01-14 19:05:00
"14",-652,"RLA496845S",0.907,1.0085625,-0.53138,2020-01-14 19:05:00
"15",-700,"RLA496845S",0.907,1.016375,-0.5705,2020-01-14 19:05:00
"16",-727,"RLA496845S",0.907,1.0241875,-0.592505,2020-01-14 19:05:00
"17",-779,"RLA496845S",0.907,1.032,-0.634885,2020-01-14 19:05:00
"18",-873,"RLA496845S",0.907,1.0398125,-0.711495,2020-01-14 19:05:00
"19",-908,"RLA496845S",0.907,1.047625,-0.74002,2020-01-14 19:05:00
"20",-1006,"RLA496845S",0.907,1.0554375,-0.81989,2020-01-14 19:05:00
"21",-1119,"RLA496845S",0.907,1.06325,-0.911985,2020-01-14 19:05:00
"22",-1205,"RLA496845S",0.907,1.0710625,-0.982075,2020-01-14 19:05:00
"23",-1339,"RLA496845S",0.907,1.078875,-1.091285,2020-01-14 19:05:00
"24",-1390,"RLA496845S",0.907,1.0866875,-1.13285,2020-01-14 19:05:00
"25",-1105,"RLA496845S",0.907,1.0945,-0.900575,2020-01-14 19:05:00
"26",-651,"RLA496845S",0.907,1.1023125,-0.530565,2020-01-14 19:05:00
"27",-350,"RLA496845S",0.907,1.110125,-0.28525,2020-01-14 19:05:00
"28",-269,"RLA496845S",0.907,1.1179375,-0.219235,2020-01-14 19:05:00
"29",-237,"RLA496845S",0.907,1.12575,-0.193155,2020-01-14 19:05:00
"30",-220,"RLA496845S",0.907,1.1335625,-0.1793,2020-01-14 19:05:00
"31",-220,"RLA496845S",0.907,1.141375,-0.1793,2020-01-14 19:05:00
"32",-215,"RLA496845S",0.907,1.1491875,-0.175225,2020-01-14 19:05:00
"33",-223,"RLA496845S",0.907,1.157,-0.181745,2020-01-14 19:05:00
"34",-226,"RLA496845S",0.907,1.1648125,-0.18419,2020-01-14 19:05:00
"35",-236,"RLA496845S",0.907,1.172625,-0.19234,2020-01-14 19:05:00
"36",-248,"RLA496845S",0.907,1.1804375,-0.20212,2020-01-14 19:05:00
"37",-252,"RLA496845S",0.907,1.18825,-0.20538,2020-01-14 19:05:00
"38",-264,"RLA496845S",0.907,1.1960625,-0.21516,2020-01-14 19:05:00
"39",-270,"RLA496845S",0.907,1.203875,-0.22005,2020-01-14 19:05:00
"40",-268,"RLA496845S",0.907,1.2116875,-0.21842,2020-01-14 19:05:00
"41",-280,"RLA496845S",0.907,1.2195,-0.2282,2020-01-14 19:05:00
"42",-284,"RLA496845S",0.907,1.2273125,-0.23146,2020-01-14 19:05:00
"43",-287,"RLA496845S",0.907,1.235125,-0.233905,2020-01-14 19:05:00
"44",-292,"RLA496845S",0.907,1.2429375,-0.23798,2020-01-14 19:05:00
"45",-293,"RLA496845S",0.907,1.25075,-0.238795,2020-01-14 19:05:00
"46",-291,"RLA496845S",0.907,1.2585625,-0.237165,2020-01-14 19:05:00
"47",-286,"RLA496845S",0.907,1.266375,-0.23309,2020-01-14 19:05:00
"48",-288,"RLA496845S",0.907,1.2741875,-0.23472,2020-01-14 19:05:00
"49",-290,"RLA496845S",0.907,1.282,-0.23635,2020-01-14 19:05:00
"50",-290,"RLA496845S",0.907,1.2898125,-0.23635,2020-01-14 19:05:00
"51",-294,"RLA496845S",0.907,1.297625,-0.23961,2020-01-14 19:05:00
"52",-295,"RLA496845S",0.907,1.3054375,-0.240425,2020-01-14 19:05:00
"53",-293,"RLA496845S",0.907,1.31325,-0.238795,2020-01-14 19:05:00
"54",-295,"RLA496845S",0.907,1.3210625,-0.240425,2020-01-14 19:05:00
"55",-300,"RLA496845S",0.907,1.328875,-0.2445,2020-01-14 19:05:00
"56",-306,"RLA496845S",0.907,1.3366875,-0.24939,2020-01-14 19:05:00
"57",-305,"RLA496845S",0.907,1.3445,-0.248575,2020-01-14 19:05:00
"58",-305,"RLA496845S",0.907,1.3523125,-0.248575,2020-01-14 19:05:00
"59",-308,"RLA496845S",0.907,1.360125,-0.25102,2020-01-14 19:05:00
"60",-313,"RLA496845S",0.907,1.3679375,-0.255095,2020-01-14 19:05:00
"61",-324,"RLA496845S",0.907,1.37575,-0.26406,2020-01-14 19:05:00
"62",-333,"RLA496845S",0.907,1.3835625,-0.271395,2020-01-14 19:05:00
"63",-334,"RLA496845S",0.907,1.391375,-0.27221,2020-01-14 19:05:00
"64",-332,"RLA496845S",0.907,1.3991875,-0.27058,2020-01-14 19:05:00
"65",-333,"RLA496845S",0.907,1.407,-0.271395,2020-01-14 19:05:00
"66",-350,"RLA496845S",0.907,1.4148125,-0.28525,2020-01-14 19:05:00
"67",-366,"RLA496845S",0.907,1.422625,-0.29829,2020-01-14 19:05:00
"68",-363,"RLA496845S",0.907,1.4304375,-0.295845,2020-01-14 19:05:00
"69",-347,"RLA496845S",0.907,1.43825,-0.282805,2020-01-14 19:05:00
"70",-334,"RLA496845S",0.907,1.4460625,-0.27221,2020-01-14 19:05:00
"71",-330,"RLA496845S",0.907,1.453875,-0.26895,2020-01-14 19:05:00
"72",-328,"RLA496845S",0.907,1.4616875,-0.26732,2020-01-14 19:05:00
"73",-325,"RLA496845S",0.907,1.4695,-0.264875,2020-01-14 19:05:00
"74",-321,"RLA496845S",0.907,1.4773125,-0.261615,2020-01-14 19:05:00
"75",-322,"RLA496845S",0.907,1.485125,-0.26243,2020-01-14 19:05:00
"76",-322,"RLA496845S",0.907,1.4929375,-0.26243,2020-01-14 19:05:00
"77",-322,"RLA496845S",0.907,1.50075,-0.26243,2020-01-14 19:05:00
"78",-325,"RLA496845S",0.907,1.5085625,-0.264875,2020-01-14 19:05:00
"79",-334,"RLA496845S",0.907,1.516375,-0.27221,2020-01-14 19:05:00
"80",-337,"RLA496845S",0.907,1.5241875,-0.274655,2020-01-14 19:05:00
"81",-310,"RLA496845S",0.907,1.532,-0.25265,2020-01-14 19:05:00
"82",-480,"RLA496845S",0.907,1.5398125,-0.3912,2020-01-14 19:05:00
"83",-1215,"RLA496845S",0.907,1.547625,-0.990225,2020-01-14 19:05:00
"84",-2252,"RLA496845S",0.907,1.5554375,-1.83538,2020-01-14 19:05:00
"85",-2166,"RLA496845S",0.907,1.56325,-1.76529,2020-01-14 19:05:00
"86",-419,"RLA496845S",0.907,1.5710625,-0.341485,2020-01-14 19:05:00
"87",485,"RLA496845S",0.907,1.578875,0.395275,2020-01-14 19:05:00
"88",-333,"RLA496845S",0.907,1.5866875,-0.271395,2020-01-14 19:05:00
"89",-399,"RLA496845S",0.907,1.5945,-0.325185,2020-01-14 19:05:00
"90",-267,"RLA496845S",0.907,1.6023125,-0.217605,2020-01-14 19:05:00
"91",-369,"RLA496845S",0.907,1.610125,-0.300735,2020-01-14 19:05:00
"92",-441,"RLA496845S",0.907,1.6179375,-0.359415,2020-01-14 19:05:00
"93",-436,"RLA496845S",0.907,1.62575,-0.35534,2020-01-14 19:05:00
"94",-484,"RLA496845S",0.907,1.6335625,-0.39446,2020-01-14 19:05:00
"95",-469,"RLA496845S",0.907,1.641375,-0.382235,2020-01-14 19:05:00
"96",-578,"RLA496845S",0.907,1.6491875,-0.47107,2020-01-14 19:05:00
"97",-651,"RLA496845S",0.907,1.657,-0.530565,2020-01-14 19:05:00
"98",-573,"RLA496845S",0.907,1.6648125,-0.466995,2020-01-14 19:05:00
"99",-611,"RLA496845S",0.907,1.672625,-0.497965,2020-01-14 19:05:00
"100",-690,"RLA496845S",0.907,1.6804375,-0.56235,2020-01-14 19:05:00
"101",-764,"RLA496845S",0.907,1.68825,-0.62266,2020-01-14 19:05:00
"102",-847,"RLA496845S",0.907,1.6960625,-0.690305,2020-01-14 19:05:00
"103",-914,"RLA496845S",0.907,1.703875,-0.74491,2020-01-14 19:05:00
"104",-1020,"RLA496845S",0.907,1.7116875,-0.8313,2020-01-14 19:05:00
"105",-1086,"RLA496845S",0.907,1.7195,-0.88509,2020-01-14 19:05:00
"106",-1195,"RLA496845S",0.907,1.7273125,-0.973925,2020-01-14 19:05:00
"107",-1270,"RLA496845S",0.907,1.735125,-1.03505,2020-01-14 19:05:00
"108",-1107,"RLA496845S",0.907,1.7429375,-0.902205,2020-01-14 19:05:00
"109",-735,"RLA496845S",0.907,1.75075,-0.599025,2020-01-14 19:05:00
"110",-389,"RLA496845S",0.907,1.7585625,-0.317035,2020-01-14 19:05:00
"111",-243,"RLA496845S",0.907,1.766375,-0.198045,2020-01-14 19:05:00
"112",-238,"RLA496845S",0.907,1.7741875,-0.19397,2020-01-14 19:05:00
"113",-206,"RLA496845S",0.907,1.782,-0.16789,2020-01-14 19:05:00
"114",-193,"RLA496845S",0.907,1.7898125,-0.157295,2020-01-14 19:05:00
"115",-195,"RLA496845S",0.907,1.797625,-0.158925,2020-01-14 19:05:00
"116",-197,"RLA496845S",0.907,1.8054375,-0.160555,2020-01-14 19:05:00
"117",-209,"RLA496845S",0.907,1.81325,-0.170335,2020-01-14 19:05:00
"118",-219,"RLA496845S",0.907,1.8210625,-0.178485,2020-01-14 19:05:00
"119",-231,"RLA496845S",0.907,1.828875,-0.188265,2020-01-14 19:05:00
"120",-241,"RLA496845S",0.907,1.8366875,-0.196415,2020-01-14 19:05:00
"121",-242,"RLA496845S",0.907,1.8445,-0.19723,2020-01-14 19:05:00
"122",-251,"RLA496845S",0.907,1.8523125,-0.204565,2020-01-14 19:05:00
"123",-258,"RLA496845S",0.907,1.860125,-0.21027,2020-01-14 19:05:00
"124",-267,"RLA496845S",0.907,1.8679375,-0.217605,2020-01-14 19:05:00
"125",-268,"RLA496845S",0.907,1.87575,-0.21842,2020-01-14 19:05:00
"126",-263,"RLA496845S",0.907,1.8835625,-0.214345,2020-01-14 19:05:00
"127",-272,"RLA496845S",0.907,1.891375,-0.22168,2020-01-14 19:05:00
"128",-275,"RLA496845S",0.907,1.8991875,-0.224125,2020-01-14 19:05:00
"129",-271,"RLA496845S",0.907,1.907,-0.220865,2020-01-14 19:05:00
"130",-271,"RLA496845S",0.907,1.9148125,-0.220865,2020-01-14 19:05:00
"131",-270,"RLA496845S",0.907,1.922625,-0.22005,2020-01-14 19:05:00
"132",-269,"RLA496845S",0.907,1.9304375,-0.219235,2020-01-14 19:05:00
"133",-272,"RLA496845S",0.907,1.93825,-0.22168,2020-01-14 19:05:00
"134",-278,"RLA496845S",0.907,1.9460625,-0.22657,2020-01-14 19:05:00
"135",-280,"RLA496845S",0.907,1.953875,-0.2282,2020-01-14 19:05:00
"136",-278,"RLA496845S",0.907,1.9616875,-0.22657,2020-01-14 19:05:00
"137",-279,"RLA496845S",0.907,1.9695,-0.227385,2020-01-14 19:05:00
"138",-283,"RLA496845S",0.907,1.9773125,-0.230645,2020-01-14 19:05:00
"139",-288,"RLA496845S",0.907,1.985125,-0.23472,2020-01-14 19:05:00
"140",-290,"RLA496845S",0.907,1.9929375,-0.23635,2020-01-14 19:05:00
"141",-291,"RLA496845S",0.907,2.00075,-0.237165,2020-01-14 19:05:00
"142",-294,"RLA496845S",0.907,2.0085625,-0.23961,2020-01-14 19:05:00
"143",-295,"RLA496845S",0.907,2.016375,-0.240425,2020-01-14 19:05:00
"144",-299,"RLA496845S",0.907,2.0241875,-0.243685,2020-01-14 19:05:00
"145",-304,"RLA496845S",0.907,2.032,-0.24776,2020-01-14 19:05:00
"146",-307,"RLA496845S",0.907,2.0398125,-0.250205,2020-01-14 19:05:00
"147",-310,"RLA496845S",0.907,2.047625,-0.25265,2020-01-14 19:05:00
"148",-312,"RLA496845S",0.907,2.0554375,-0.25428,2020-01-14 19:05:00
"149",-313,"RLA496845S",0.907,2.06325,-0.255095,2020-01-14 19:05:00
"150",-317,"RLA496845S",0.907,2.0710625,-0.258355,2020-01-14 19:05:00
"151",-320,"RLA496845S",0.907,2.078875,-0.2608,2020-01-14 19:05:00
"152",-322,"RLA496845S",0.907,2.0866875,-0.26243,2020-01-14 19:05:00
"153",-323,"RLA496845S",0.907,2.0945,-0.263245,2020-01-14 19:05:00
"154",-325,"RLA496845S",0.907,2.1023125,-0.264875,2020-01-14 19:05:00
"155",-328,"RLA496845S",0.907,2.110125,-0.26732,2020-01-14 19:05:00
"156",-329,"RLA496845S",0.907,2.1179375,-0.268135,2020-01-14 19:05:00
"157",-333,"RLA496845S",0.907,2.12575,-0.271395,2020-01-14 19:05:00
"158",-335,"RLA496845S",0.907,2.1335625,-0.273025,2020-01-14 19:05:00
"159",-335,"RLA496845S",0.907,2.141375,-0.273025,2020-01-14 19:05:00
"160",-338,"RLA496845S",0.907,2.1491875,-0.27547,2020-01-14 19:05:00
"161",-341,"RLA496845S",0.907,2.157,-0.277915,2020-01-14 19:05:00
"162",-342,"RLA496845S",0.907,2.1648125,-0.27873,2020-01-14 19:05:00
"163",-343,"RLA496845S",0.907,2.172625,-0.279545,2020-01-14 19:05:00
"164",-347,"RLA496845S",0.907,2.1804375,-0.282805,2020-01-14 19:05:00
"165",-350,"RLA496845S",0.907,2.18825,-0.28525,2020-01-14 19:05:00
"166",-349,"RLA496845S",0.907,2.1960625,-0.284435,2020-01-14 19:05:00
"167",-351,"RLA496845S",0.907,2.203875,-0.286065,2020-01-14 19:05:00
"168",-358,"RLA496845S",0.907,2.2116875,-0.29177,2020-01-14 19:05:00
"169",-357,"RLA496845S",0.907,2.2195,-0.290955,2020-01-14 19:05:00
"170",-357,"RLA496845S",0.907,2.2273125,-0.290955,2020-01-14 19:05:00
"171",-362,"RLA496845S",0.907,2.235125,-0.29503,2020-01-14 19:05:00
"172",-365,"RLA496845S",0.907,2.2429375,-0.297475,2020-01-14 19:05:00
"173",-365,"RLA496845S",0.907,2.25075,-0.297475,2020-01-14 19:05:00
"174",-365,"RLA496845S",0.907,2.2585625,-0.297475,2020-01-14 19:05:00
"175",-365,"RLA496845S",0.907,2.266375,-0.297475,2020-01-14 19:05:00
"176",-366,"RLA496845S",0.907,2.2741875,-0.29829,2020-01-14 19:05:00
"177",-370,"RLA496845S",0.907,2.282,-0.30155,2020-01-14 19:05:00
"178",-370,"RLA496845S",0.907,2.2898125,-0.30155,2020-01-14 19:05:00
"179",-369,"RLA496845S",0.907,2.297625,-0.300735,2020-01-14 19:05:00
"180",-375,"RLA496845S",0.907,2.3054375,-0.305625,2020-01-14 19:05:00
"181",-377,"RLA496845S",0.907,2.31325,-0.307255,2020-01-14 19:05:00
"182",-372,"RLA496845S",0.907,2.3210625,-0.30318,2020-01-14 19:05:00
"183",-373,"RLA496845S",0.907,2.328875,-0.303995,2020-01-14 19:05:00
"184",-380,"RLA496845S",0.907,2.3366875,-0.3097,2020-01-14 19:05:00
"185",-379,"RLA496845S",0.907,2.3445,-0.308885,2020-01-14 19:05:00
"186",-380,"RLA496845S",0.907,2.3523125,-0.3097,2020-01-14 19:05:00
"187",-384,"RLA496845S",0.907,2.360125,-0.31296,2020-01-14 19:05:00
"188",-383,"RLA496845S",0.907,2.3679375,-0.312145,2020-01-14 19:05:00
